Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment
K10,MXOnly-1U-Hotswap,197.3625mm,87.46875mm,197.3625mm,87.46875mm,190.2775mm,90.00875mm,T,0,KEYSW
K11,MXOnly-1U-Hotswap,216.4125mm,87.46875mm,216.4125mm,87.46875mm,209.3275mm,90.00875mm,T,0,KEYSW
K12,MXOnly-1U-Hotswap,235.4625mm,87.46875mm,235.4625mm,87.46875mm,228.3775mm,90.00875mm,T,0,KEYSW
K13,MXOnly-1U-Hotswap,254.5125mm,87.46875mm,254.5125mm,87.46875mm,247.4275mm,90.00875mm,T,0,KEYSW
K14,MXOnly-1U-Hotswap,273.5625mm,87.46875mm,273.5625mm,87.46875mm,266.4775mm,90.00875mm,T,0,KEYSW
K15,MXOnly-1U-Hotswap,292.6125mm,87.46875mm,292.6125mm,87.46875mm,285.5275mm,90.00875mm,T,0,KEYSW
K16,MXOnly-1.5U-Hotswap,30.675mm,68.41875mm,30.675mm,68.41875mm,23.59mm,70.95875mm,T,0,KEYSW
K17,MXOnly-1U-Hotswap,54.4875mm,68.41875mm,54.4875mm,68.41875mm,47.4025mm,70.95875mm,T,0,KEYSW
K18,MXOnly-1U-Hotswap,73.5375mm,68.41875mm,73.5375mm,68.41875mm,66.4525mm,70.95875mm,T,0,KEYSW
K19,MXOnly-1U-Hotswap,92.5875mm,68.41875mm,92.5875mm,68.41875mm,85.5025mm,70.95875mm,T,0,KEYSW
K2,MXOnly-1U-Hotswap,44.9625mm,87.46875mm,44.9625mm,87.46875mm,37.8775mm,90.00875mm,T,0,KEYSW
K20,MXOnly-1U-Hotswap,111.6375mm,68.41875mm,111.6375mm,68.41875mm,104.5525mm,70.95875mm,T,0,KEYSW
K21,MXOnly-1U-Hotswap,130.6875mm,68.41875mm,130.6875mm,68.41875mm,123.6025mm,70.95875mm,T,0,KEYSW
K22,MXOnly-1U-Hotswap,149.7375mm,68.41875mm,149.7375mm,68.41875mm,142.6525mm,70.95875mm,T,0,KEYSW
K23,MXOnly-1U-Hotswap,168.7875mm,68.41875mm,168.7875mm,68.41875mm,161.7025mm,70.95875mm,T,0,KEYSW
K24,MXOnly-1U-Hotswap,187.8375mm,68.41875mm,187.8375mm,68.41875mm,180.7525mm,70.95875mm,T,0,KEYSW
K25,MXOnly-1U-Hotswap,206.8875mm,68.41875mm,206.8875mm,68.41875mm,199.8025mm,70.95875mm,T,0,KEYSW
K26,MXOnly-1U-Hotswap,225.9375mm,68.41875mm,225.9375mm,68.41875mm,218.8525mm,70.95875mm,T,0,KEYSW
K27,MXOnly-1U-Hotswap,244.9875mm,68.41875mm,244.9875mm,68.41875mm,237.9025mm,70.95875mm,T,0,KEYSW
K28,MXOnly-1U-Hotswap,264.0375mm,68.41875mm,264.0375mm,68.41875mm,256.9525mm,70.95875mm,T,0,KEYSW
K29,MXOnly-1.75U-Hotswap,33.05625mm,49.36875mm,33.05625mm,49.36875mm,25.97125mm,51.90875mm,T,0,KEYSW
K3,MXOnly-1U-Hotswap,64.0125mm,87.46875mm,64.0125mm,87.46875mm,56.9275mm,90.00875mm,T,0,KEYSW
K30,MXOnly-1U-Hotswap,59.25mm,49.36875mm,59.25mm,49.36875mm,52.165mm,51.90875mm,T,0,KEYSW
K31,MXOnly-1U-Hotswap,78.3mm,49.36875mm,78.3mm,49.36875mm,71.215mm,51.90875mm,T,0,KEYSW
K32,MXOnly-1U-Hotswap,97.35mm,49.36875mm,97.35mm,49.36875mm,90.265mm,51.90875mm,T,0,KEYSW
K33,MXOnly-1U-Hotswap,116.4mm,49.36875mm,116.4mm,49.36875mm,109.315mm,51.90875mm,T,0,KEYSW
K34,MXOnly-1U-Hotswap,135.45mm,49.36875mm,135.45mm,49.36875mm,128.365mm,51.90875mm,T,0,KEYSW
K35,MXOnly-1U-Hotswap,154.5mm,49.36875mm,154.5mm,49.36875mm,147.415mm,51.90875mm,T,0,KEYSW
K36,MXOnly-1U-Hotswap,173.55mm,49.36875mm,173.55mm,49.36875mm,166.465mm,51.90875mm,T,0,KEYSW
K37,MXOnly-1U-Hotswap,192.6mm,49.36875mm,192.6mm,49.36875mm,185.515mm,51.90875mm,T,0,KEYSW
K38,MXOnly-1U-Hotswap,211.65mm,49.36875mm,211.65mm,49.36875mm,204.565mm,51.90875mm,T,0,KEYSW
K39,MXOnly-1U-Hotswap,230.7mm,49.36875mm,230.7mm,49.36875mm,223.615mm,51.90875mm,T,0,KEYSW
K4,MXOnly-1U-Hotswap,83.0625mm,87.46875mm,83.0625mm,87.46875mm,75.9775mm,90.00875mm,T,0,KEYSW
K40,MXOnly-1U-Hotswap,249.75mm,49.36875mm,249.75mm,49.36875mm,242.665mm,51.90875mm,T,0,KEYSW
K41,MXOnly-1U-Hotswap,268.8mm,49.36875mm,268.8mm,49.36875mm,261.715mm,51.90875mm,T,0,KEYSW
K42,MXOnly-ISO-Hotswap,290.23125mm,58.89375mm,290.23125mm,58.89375mm,283.14625mm,61.43375mm,T,0,KEYSW
K43,MXOnly-2U-Hotswap-ReversedStabilizers,35.4375mm,30.31875mm,35.4375mm,30.31875mm,28.3525mm,32.85875mm,T,0,KEYSW
K44,MXOnly-1U-Hotswap,63.95375mm,30.31875mm,63.95375mm,30.31875mm,56.86875mm,32.85875mm,T,0,KEYSW
K45,MXOnly-1U-Hotswap,83.0625mm,30.31875mm,83.0625mm,30.31875mm,75.9775mm,32.85875mm,T,0,KEYSW
K46,MXOnly-1U-Hotswap,102.1125mm,30.31875mm,102.1125mm,30.31875mm,95.0275mm,32.85875mm,T,0,KEYSW
K47,MXOnly-1U-Hotswap,121.1625mm,30.31875mm,121.1625mm,30.31875mm,114.0775mm,32.85875mm,T,0,KEYSW
K48,MXOnly-1U-Hotswap,140.2125mm,30.31875mm,140.2125mm,30.31875mm,133.1275mm,32.85875mm,T,0,KEYSW
K49,MXOnly-1U-Hotswap,159.2625mm,30.31875mm,159.2625mm,30.31875mm,152.1775mm,32.85875mm,T,0,KEYSW
K5,MXOnly-1U-Hotswap,102.1125mm,87.46875mm,102.1125mm,87.46875mm,95.0275mm,90.00875mm,T,0,KEYSW
K50,MXOnly-1U-Hotswap,178.3125mm,30.31875mm,178.3125mm,30.31875mm,171.2275mm,32.85875mm,T,0,KEYSW
K51,MXOnly-1U-Hotswap,197.3625mm,30.31875mm,197.3625mm,30.31875mm,190.2775mm,32.85875mm,T,0,KEYSW
K52,MXOnly-1U-Hotswap,216.4125mm,30.31875mm,216.4125mm,30.31875mm,209.3275mm,32.85875mm,T,0,KEYSW
K53,MXOnly-1U-Hotswap,235.4625mm,30.31875mm,235.4625mm,30.31875mm,228.3775mm,32.85875mm,T,0,KEYSW
K54,MXOnly-1U-Hotswap,254.5125mm,30.31875mm,254.5125mm,30.31875mm,247.4275mm,32.85875mm,T,0,KEYSW
K55,MXOnly-1U-Hotswap,273.5625mm,30.31875mm,273.5625mm,30.31875mm,266.4775mm,32.85875mm,T,0,KEYSW
K56,MXOnly-1U-Hotswap,292.6125mm,30.31875mm,292.6125mm,30.31875mm,285.5275mm,32.85875mm,T,0,KEYSW
K57,MXOnly-1.25U-Hotswap,28.29375mm,11.26875mm,28.29375mm,11.26875mm,21.20875mm,13.80875mm,T,0,KEYSW
K58,MXOnly-1.25U-Hotswap,52.10625mm,11.26875mm,52.10625mm,11.26875mm,45.02125mm,13.80875mm,T,0,KEYSW
K59,MXOnly-1.25U-Hotswap,75.91875mm,11.26875mm,75.91875mm,11.26875mm,68.83375mm,13.80875mm,T,0,KEYSW
K6,MXOnly-1U-Hotswap,121.1625mm,87.46875mm,121.1625mm,87.46875mm,114.0775mm,90.00875mm,T,0,KEYSW
K60,MXOnly-6.25U-Hotswap-ReversedStabilizers,147.35625mm,11.26875mm,147.35625mm,11.26875mm,140.27125mm,13.80875mm,T,0,KEYSW
K61,MXOnly-1U-Hotswap,254.5125mm,11.26875mm,254.5125mm,11.26875mm,247.4275mm,13.80875mm,T,0,KEYSW
K62,MXOnly-1U-Hotswap,273.5625mm,11.26875mm,273.5625mm,11.26875mm,266.4775mm,13.80875mm,T,0,KEYSW
K63,MXOnly-1U-Hotswap,292.6125mm,11.26875mm,292.6125mm,11.26875mm,285.5275mm,13.80875mm,T,0,KEYSW
K7,MXOnly-1U-Hotswap,140.2125mm,87.46875mm,140.2125mm,87.46875mm,133.1275mm,90.00875mm,T,0,KEYSW
K8,MXOnly-1U-Hotswap,159.2625mm,87.46875mm,159.2625mm,87.46875mm,152.1775mm,90.00875mm,T,0,KEYSW
K9,MXOnly-1U-Hotswap,178.3125mm,87.46875mm,178.3125mm,87.46875mm,171.2275mm,90.00875mm,T,0,KEYSW
O1,0.91_SSD1306_OLED,227.2mm,3.026875mm,227.2mm,3.026875mm,208.42mm,15.316875mm,T,0,Conn_01x04
RV1,potentiometer_slider_45mm,13.9mm,49.8mm,13.9mm,49.8mm,5.2mm,50.6mm,T,90,R_POT
[SCREW],MountingHole_2.2mm_M2,116.4mm,58.89375mm,116.4mm,58.89375mm,116.4mm,58.89375mm,T,0,MountingHole_2.2mm_M2
[SCREW],MountingHole_2.2mm_M2,192.6mm,58.89375mm,192.6mm,58.89375mm,192.6mm,58.89375mm,T,0,MountingHole_2.2mm_M2
[SCREW],MountingHole_2.2mm_M2,40.2mm,11.26875mm,40.2mm,11.26875mm,40.2mm,11.26875mm,T,0,MountingHole_2.2mm_M2
[SCREW],MountingHole_2.2mm_M2,30.675mm,77.94375mm,30.675mm,77.94375mm,30.675mm,77.94375mm,T,0,MountingHole_2.2mm_M2
[SCREW],MountingHole_2.2mm_M2,292.6125mm,20.79375mm,292.6125mm,20.79375mm,292.6125mm,20.79375mm,T,0,MountingHole_2.2mm_M2
[SCREW],MountingHole_2.2mm_M2,292.6125mm,77.94375mm,292.6125mm,77.94375mm,292.6125mm,77.94375mm,T,0,MountingHole_2.2mm_M2
J1,USB_Micro-B_Molex-105017-0001,2.8mm,81.9mm,2.8mm,81.9mm,4.2625mm,80.6mm,B,90,USB_B_Micro
P1,PinHeader_2x03_P2.54mm_Vertical,133.62mm,5.4mm,133.62mm,5.4mm,133.62mm,5.4mm,B,270,AVR-ISP-6
